char	wcswidth	cursor moved
ः	0	1
ऻ	0	1
ा	0	1
ि	0	1
ी	0	1
ॉ	0	1
ॊ	0	1
ो	0	1
ौ	0	1
ॎ	0	1
ॏ	0	1
ং	0	1
ঃ	0	1
া	0	1
ি	0	1
ী	0	1
ে	0	1
ৈ	0	1
ো	0	1
ৌ	0	1
ৗ	0	1
ਃ	0	1
ਾ	0	1
ਿ	0	1
ੀ	0	1
ઃ	0	1
ા	0	1
િ	0	1
ી	0	1
ૉ	0	1
ો	0	1
ૌ	0	1
ଂ	0	1
ଃ	0	1
ା	0	1
ୀ	0	1
େ	0	1
ୈ	0	1
ୋ	0	1
ୌ	0	1
ୗ	0	1
ா	0	1
ி	0	1
ு	0	1
ூ	0	1
ெ	0	1
ே	0	1
ை	0	1
ொ	0	1
ோ	0	1
ௌ	0	1
ௗ	0	1
ఁ	0	1
ం	0	1
ః	0	1
ు	0	1
ూ	0	1
ృ	0	1
ౄ	0	1
ಂ	0	1
ಃ	0	1
ಾ	0	1
ೀ	0	1
ು	0	1
ೂ	0	1
ೃ	0	1
ೄ	0	1
ೇ	0	1
ೈ	0	1
ೊ	0	1
ೋ	0	1
ೕ	0	1
ೖ	0	1
ೳ	0	1
ം	0	1
ഃ	0	1
ാ	0	1
ി	0	1
ീ	0	1
െ	0	1
േ	0	1
ൈ	0	1
ൊ	0	1
ോ	0	1
ൌ	0	1
ൗ	0	1
ං	0	1
ඃ	0	1
ා	0	1
ැ	0	1
ෑ	0	1
ෘ	0	1
ෙ	0	1
ේ	0	1
ෛ	0	1
ො	0	1
ෝ	0	1
ෞ	0	1
ෟ	0	1
ෲ	0	1
ෳ	0	1
༾	0	1
༿	0	1
ཿ	0	1
ါ	0	1
ာ	0	1
ေ	0	1
း	0	1
ျ	0	1
ြ	0	1
ၖ	0	1
ၗ	0	1
ၢ	0	1
ၣ	0	1
ၤ	0	1
ၧ	0	1
ၨ	0	1
ၩ	0	1
ၪ	0	1
ၫ	0	1
ၬ	0	1
ၭ	0	1
ႃ	0	1
ႄ	0	1
ႇ	0	1
ႈ	0	1
ႉ	0	1
ႊ	0	1
ႋ	0	1
ႌ	0	1
ႏ	0	1
ႚ	0	1
ႛ	0	1
ႜ	0	1
᜕	0	1
᜴	0	1
ា	0	1
ើ	0	1
ឿ	0	1
ៀ	0	1
េ	0	1
ែ	0	1
ៃ	0	1
ោ	0	1
ៅ	0	1
ះ	0	1
ៈ	0	1
ᤣ	0	1
ᤤ	0	1
ᤥ	0	1
ᤦ	0	1
ᤩ	0	1
ᤪ	0	1
ᤫ	0	1
ᤰ	0	1
ᤱ	0	1
ᤳ	0	1
ᤴ	0	1
ᤵ	0	1
ᤶ	0	1
ᤷ	0	1
ᤸ	0	1
ᨙ	0	1
ᨚ	0	1
ᩕ	0	1
ᩗ	0	1
ᩡ	0	1
ᩣ	0	1
ᩤ	0	1
ᩭ	0	1
ᩮ	0	1
ᩯ	0	1
ᩰ	0	1
ᩱ	0	1
ᩲ	0	1
ᬄ	0	1
ᬵ	0	1
ᬻ	0	1
ᬽ	0	1
ᬾ	0	1
ᬿ	0	1
ᭀ	0	1
ᭁ	0	1
ᭃ	0	1
᭄	0	1
ᮂ	0	1
ᮡ	0	1
ᮦ	0	1
ᮧ	0	1
᮪	0	1
ᯧ	0	1
ᯪ	0	1
ᯫ	0	1
ᯬ	0	1
ᯮ	0	1
᯲	0	1
᯳	0	1
ᰤ	0	1
ᰥ	0	1
ᰦ	0	1
ᰧ	0	1
ᰨ	0	1
ᰩ	0	1
ᰪ	0	1
ᰫ	0	1
ᰴ	0	1
ᰵ	0	1
᳡	0	1
᳷	0	1
 	0	1
 	0	1
〮	0	2
〯	0	2
㉈	1	2
㉉	1	2
㉊	1	2
㉋	1	2
㉌	1	2
㉍	1	2
㉎	1	2
㉏	1	2
䷀	1	2
䷁	1	2
䷂	1	2
䷃	1	2
䷄	1	2
䷅	1	2
䷆	1	2
䷇	1	2
䷈	1	2
䷉	1	2
䷊	1	2
䷋	1	2
䷌	1	2
䷍	1	2
䷎	1	2
䷏	1	2
䷐	1	2
䷑	1	2
䷒	1	2
䷓	1	2
䷔	1	2
䷕	1	2
䷖	1	2
䷗	1	2
䷘	1	2
䷙	1	2
䷚	1	2
䷛	1	2
䷜	1	2
䷝	1	2
䷞	1	2
䷟	1	2
䷠	1	2
䷡	1	2
䷢	1	2
䷣	1	2
䷤	1	2
䷥	1	2
䷦	1	2
䷧	1	2
䷨	1	2
䷩	1	2
䷪	1	2
䷫	1	2
䷬	1	2
䷭	1	2
䷮	1	2
䷯	1	2
䷰	1	2
䷱	1	2
䷲	1	2
䷳	1	2
䷴	1	2
䷵	1	2
䷶	1	2
䷷	1	2
䷸	1	2
䷹	1	2
䷺	1	2
䷻	1	2
䷼	1	2
䷽	1	2
䷾	1	2
䷿	1	2
ꠣ	0	1
ꠤ	0	1
ꠧ	0	1
ꢀ	0	1
ꢁ	0	1
ꢴ	0	1
ꢵ	0	1
ꢶ	0	1
ꢷ	0	1
ꢸ	0	1
ꢹ	0	1
ꢺ	0	1
ꢻ	0	1
ꢼ	0	1
ꢽ	0	1
ꢾ	0	1
ꢿ	0	1
ꣀ	0	1
ꣁ	0	1
ꣂ	0	1
ꣃ	0	1
ꥒ	0	1
꥓	0	1
ꦃ	0	1
ꦴ	0	1
ꦵ	0	1
ꦺ	0	1
ꦻ	0	1
ꦾ	0	1
ꦿ	0	1
꧀	0	1
ꨯ	0	1
ꨰ	0	1
ꨳ	0	1
ꨴ	0	1
ꩍ	0	1
ꩻ	0	1
ꩽ	0	1
ꫫ	0	1
ꫮ	0	1
ꫯ	0	1
ꫵ	0	1
ꯣ	0	1
ꯤ	0	1
ꯦ	0	1
ꯧ	0	1
ꯩ	0	1
ꯪ	0	1
꯬	0	1
𑀀	0	1
𑀂	0	1
𑂂	0	1
𑂰	0	1
𑂱	0	1
𑂲	0	1
𑂷	0	1
𑂸	0	1
𑄬	0	1
𑅅	0	1
𑅆	0	1
𑆂	0	1
𑆳	0	1
𑆴	0	1
𑆵	0	1
𑆿	0	1
𑇀	0	1
𑇎	0	1
𑈬	0	1
𑈭	0	1
𑈮	0	1
𑈲	0	1
𑈳	0	1
𑈵	0	1
𑋠	0	1
𑋡	0	1
𑋢	0	1
𑌂	0	1
𑌃	0	1
𑌾	0	1
𑌿	0	1
𑍁	0	1
𑍂	0	1
𑍃	0	1
𑍄	0	1
𑍇	0	1
𑍈	0	1
𑍋	0	1
𑍌	0	1
𑍍	0	1
𑍗	0	1
𑍢	0	1
𑍣	0	1
𑐵	0	1
𑐶	0	1
𑐷	0	1
𑑀	0	1
𑑁	0	1
𑑅	0	1
𑒰	0	1
𑒱	0	1
𑒲	0	1
𑒹	0	1
𑒻	0	1
𑒼	0	1
𑒽	0	1
𑒾	0	1
𑓁	0	1
𑖯	0	1
𑖰	0	1
𑖱	0	1
𑖸	0	1
𑖹	0	1
𑖺	0	1
𑖻	0	1
𑖾	0	1
𑘰	0	1
𑘱	0	1
𑘲	0	1
𑘻	0	1
𑘼	0	1
𑘾	0	1
𑚬	0	1
𑚮	0	1
𑚯	0	1
𑚶	0	1
𑜠	0	1
𑜡	0	1
𑜦	0	1
𑠬	0	1
𑠭	0	1
𑠮	0	1
𑠸	0	1
𑤰	0	1
𑤱	0	1
𑤲	0	1
𑤳	0	1
𑤴	0	1
𑤵	0	1
𑤷	0	1
𑤸	0	1
𑤽	0	1
𑥀	0	1
𑥂	0	1
𑧑	0	1
𑧒	0	1
𑧓	0	1
𑧜	0	1
𑧝	0	1
𑧞	0	1
𑧟	0	1
𑧤	0	1
𑨹	0	1
𑩗	0	1
𑩘	0	1
𑪗	0	1
𑰯	0	1
𑰾	0	1
𑲩	0	1
𑲱	0	1
𑲴	0	1
𑶊	0	1
𑶋	0	1
𑶌	0	1
𑶍	0	1
𑶎	0	1
𑶓	0	1
𑶔	0	1
𑶖	0	1
𑻵	0	1
𑻶	0	1
𑼃	0	1
𑼴	0	1
𑼵	0	1
𑼾	0	1
𑼿	0	1
𑽁	0	1
𖽑	0	1
𖽒	0	1
𖽓	0	1
𖽔	0	1
𖽕	0	1
𖽖	0	1
𖽗	0	1
𖽘	0	1
𖽙	0	1
𖽚	0	1
𖽛	0	1
𖽜	0	1
𖽝	0	1
𖽞	0	1
𖽟	0	1
𖽠	0	1
𖽡	0	1
𖽢	0	1
𖽣	0	1
𖽤	0	1
𖽥	0	1
𖽦	0	1
𖽧	0	1
𖽨	0	1
𖽩	0	1
𖽪	0	1
𖽫	0	1
𖽬	0	1
𖽭	0	1
𖽮	0	1
𖽯	0	1
𖽰	0	1
𖽱	0	1
𖽲	0	1
𖽳	0	1
𖽴	0	1
𖽵	0	1
𖽶	0	1
𖽷	0	1
𖽸	0	1
𖽹	0	1
𖽺	0	1
𖽻	0	1
𖽼	0	1
𖽽	0	1
𖽾	0	1
𖽿	0	1
𖾀	0	1
𖾁	0	1
𖾂	0	1
𖾃	0	1
𖾄	0	1
𖾅	0	1
𖾆	0	1
𖾇	0	1
𖿰	0	2
𖿱	0	2
𝅥	0	1
𝅦	0	1
𝅭	0	1
𝅮	0	1
𝅯	0	1
𝅰	0	1
𝅱	0	1
𝅲	0	1
🏻	0	2
🏼	0	2
🏽	0	2
🏾	0	2
🏿	0	2
